id;name;river;hyear;hmonth;day;level;flow;temp;month
151170030;TRESTNO;Odra (1);1980;03;14;220;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;15;270;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;16;266;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;17;262;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;18;264;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;19;270;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;20;266;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;21;254;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;22;242;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;23;240;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;24;246;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;25;232;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;26;230;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;27;228;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;28;224;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;29;216;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;30;200;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;03;31;210;99999.999;99.9;01
151170030;TRESTNO;Odra (1);1980;04;01;230;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;02;230;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;03;278;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;04;288;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;05;266;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;06;220;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;07;210;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;08;226;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;09;246;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;10;242;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;11;240;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;12;238;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;13;238;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;14;244;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;15;262;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;16;248;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;17;234;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;18;210;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;19;208;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;20;226;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;21;220;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;22;200;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;23;202;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;24;292;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;25;292;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;26;290;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;27;284;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;28;270;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;04;29;280;99999.999;99.9;02
151170030;TRESTNO;Odra (1);1980;05;01;298;99999.999;99.9;03
